2022-02-10 07:59:44,477  * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
2022-02-10 07:59:44,477  * Running on http://10.0.5.57:9889/ (Press CTRL+C to quit)
2022-02-10 08:00:50,507 Update sites version manually
2022-02-10 08:00:50,507 Update sites version starts : Thu Feb 10 08:00:50 2022 
2022-02-10 08:00:53,071 update error. domainId: 1990, operator name: jojoBet 
2022-02-10 08:00:56,271 update error. domainId: 2003, operator name: Odeonbet 
2022-02-10 08:00:58,558 update error. domainId: 2411, operator name: Foliatticasino.mx 
2022-02-10 08:01:00,796 update error. domainId: 1159, operator name: Playshangrila.com 
2022-02-10 08:01:03,178 update error. domainId: 1014, operator name: Wunderino.com 
2022-02-10 08:01:05,460 update error. domainId: 2550, operator name: goaplayer.com 
2022-02-10 08:01:06,746 update error. domainId: 1183, operator name: SpinIt 
2022-02-10 08:01:06,746 update error. domainId: 1183, operator name: SpinIt 
2022-02-10 08:01:10,285 update error. domainId: 1796, operator name: GenesisCasino 
2022-02-10 08:01:10,286 update error. domainId: 1796, operator name: GenesisCasino 
2022-02-10 08:01:11,906 update error. domainId: 2339, operator name: Raisedbet.com 
2022-02-10 08:01:19,839 update error. domainId: 2005, operator name: Matbet 
2022-02-10 08:01:21,930 update error. domainId: 1891, operator name: Pelaa 
2022-02-10 08:01:21,930 update error. domainId: 1891, operator name: Pelaa 
2022-02-10 08:01:22,696 update error. domainId: 1160, operator name: ShangrilaLive.com 
2022-02-10 08:01:26,021 update error. domainId: 1243, operator name: Sloty 
2022-02-10 08:01:26,021 update error. domainId: 1243, operator name: Sloty 
2022-02-10 08:01:27,067 update error. domainId: 2002, operator name: Betfinal 
2022-02-10 08:01:28,925 update error. domainId: 2569, operator name: Dream88.com 
2022-02-10 08:01:28,925 update error. domainId: 2569, operator name: Dream88.com 
2022-02-10 08:01:29,745 update error. domainId: 2332, operator name: Liderbahis.com 
2022-02-10 08:01:31,478 update error. domainId: 2248, operator name: mybet.de 
2022-02-10 08:01:31,480 update error. domainId: 2248, operator name: mybet.de 
2022-02-10 08:01:32,253 update error. domainId: 2560, operator name: Winypto.com 
